Ni I 5036,C,,,,,Ni I,5035.98,,,,,,,,,KP,5034.1992,,,,,,,,,
Si II 5041,B,,,,,Si II/Fe I,5041,,,Si II,5041.13,,,Si II,5041.02,KP,5039.6411,,,,,,,,,
Si II 5056,A,,,,,SI II,5056,,,Si II,5056.17,,,Si II,5056,,5054.7299,,,,,,,,,
Ti II 5069,C,,,,,Ti II,5069.12,,,,,,,,,,5070.539,,,,,,,,,
,,,,,,Fe I/Ni I,5097,,,,,,,Fe II,5101,,5098.967,,,,,,,,,
,,,,,,Ti II/Ni I,5129,,,Fe II,5127.87,,,,,,5127.3542,,,,,,,,,
Fe II 5146,C,,,,,,,,,Fe II,5146,,,,,TSP,5146.0435,,,,,,,,,
,,,,,,Cr II,5153.59,,,Fe II,5151,,,,,TSP,5152.4956,,,,,,,,,
Fe II/Mg I 5167-73,B,Mg I,5167-73,,,Fe II/Mg I,5167-73,,,Fe II,5169,,,Mg I,5167-72,,5167.6314,,,,,,,,,
Mg I 5184,B,Mg I,5184,,,Mg I,5183.67,,,Mg I/Ti II,5183-86,,,Mg I,5183.9,TP,5184.6548,,,,,,,,,
Fe II 5198,B,,,,,Fe I/Fe II,5195-97,,,Fe II,5197.57,,,Fe II,5197.6,TP,5196.2227,,,,,,,,,
,,,,,,,,,,,,,,,,,5213.8044,,,,,,,,,
Fe I/Ti II 5225,B,,,,,Fe I/Ti II,5227,,,Ti II,5226.6,,,Ti II/Fe I,5227,TP,5225.4463,,,,,,,,,
Fe II 5235,B,,,,,Fe I/Fe II,5232-34,,,Fe II,5234.7,,,Fe II,5234.6,TP,5233.8501,,,,,,,,,
Fe II 5265,C,,,,,Fe II,5264.81,,,,,,,,,M,5262.84,,,,,,,,,
Fe II 5276,B,,,,,Fe I/Fe II,5273-76,,,Fe II,5276,,,Fe II,5276,PK,5274.4771,,,,,,,,,
,,,,,,Fe I,5281.79,,,Cr II,5280,,,,,PK,5281.873,,,,,,,,,
Fe II 5317,C,,,,,Cr II/Fe II,5313-17,,,Fe II,5317,,,Fe II,5317,,5314.8524,,,,,,,,,
Cr II 5335,C,,,,,Cr II,5335-38,,,Cr II,5334.88,,,,,,5335.9966,,,,,,,,,
Fe II 5363,C,,,,,,,,,Fe II,5362.86,,,,,,5361.6793,,,,,,,,,
,,,,,,,,,,,,,,,,,5505.2773,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5526.3096,,,,,,,,,
Fe II 5535,C,,,,,,,,,Fe II,5534.86,,,,,KP,5533.2275,,,,,,,,,
Y II 5545,C,,,,,Y II,5544.62,,,,,,,,,,5543.3572,,,,,,,,,
Fe I 5781,C,,,,,Fe I,5780.61,,,,,,,,,,5779.4217,,,,,,,,,
,,,,,,,,,,,,,,,,,5795.7834,,,,,,,,,
He I 5876,B,,,,,He I,5876,,,He I,5876,,,,,M,5875.07,,,,,,,,,
Na I 5890,B,Na I,5890,,,Na I,5889,,,,,,,Na I,5889,TP,5888.8931,,,,,,,,,
na I 5896,B,Na I,5896,,,Na I,5896,,,,,,,Na I,5896,TP,5895.2197,,,,,,,,,
Telluric $H_2O$/ Si II 5958,C,,,,,Si II,5957.61,,,Telluric/Si II,5957.61,,,,,,5957.3104,,,,,,,,,
,,,,,,,,,,,,,,,,,5967.469,,,,,,,,,
Si II 5979,B,,,,,Si II,5978.97,,,Si II,5978.97,,,,,,5977.1798,,,,,,,,,
"Telluric $H_2O$ Fe II 5991",C,,,,,,,,,Telluric/Fe II,5991.38,,,,,,5990.1115,,,,,,,,,
Fe II 6148,B,,,,,Fe II,6147.85,,,Fe II,6147.73,,,,,,6147.8465,,,,,,,,,
,,,,,,Cr II,6158.84,,,O I,6155.99,,,,,,6156.3578,,,,,,,,,
Fe II 6175,C,,,,,,,,,Fe II,6175.16,,,,,AW,6174.4214,,,,,,,,,
Cr II 6179,C,,,,,Cr II,6179.21,,,,,,,,,AW,6177.8853,,,,,,,,,
Fe II 6238,B,,,,,Fe II,6238.39,,,Fe II,6238.37,,,,,TP,6238.2676,,,,,,,,,
Fe II 6248,B,,,,,Fe II,6247.56,,,Fe II,6247.56,,,,,TP,6246.7246,,,,,,,,,
Telluric $O_2$,A,,,,,,,,,,,,,,,telluric?,6281.1379,,,,,,,,,
Fe II 6317,C,,,,,,,,,Fe II,6317.4,,,,,,6317.0813,,,,,,,,,
Fe II 6332,C,,,,,,,,,Fe II,6331.97,,,,,,6330.7076,,,,,,,,,
Si II 6347,B,,,,,Si II,6347.09,,,Si II,6347.1,,,,,,6346.5842,,,,,,,,,
Si II 6371,B,,,,,Si II,6371.36,,,Si II,6371.36,,,,,,6370.8298,,,,,,,,,
Fe II 6417,B,,,,,Fe II,6416.92,,,Fe II,6416.9,,,,,,6415.7379,,,,,,,,,
Fe II 6433,B,,,,,Fe II,6432.69,,,Fe II,6432.65,,,,,,6432.4868,,,,,,,,,
Fe II/O I 6456,B,,,,,Fe II/O I,6456,,,Fe II/O I,6456,,,,,,6456.0043,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6475.99,,,,,,,,,
,,,,,,,,,,Fe II,6482.2,,,,,telluric?,6482.12,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6492.48,,,,,,,,,
,,,,,,,,,,Fe II,6516.05,,,,,telluric?,6516.4861,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6533.6908,,,,,,,,,
,,,,,,,,,,Mg II,6545.8,,,,,telluric?,6544.75,,,,,,,,,
H$\alpha$,A,Halfa,6562.82,,,Halfa,6562.82,,,Halfa,6562.82,,,Halfa,6562.82,,6561.865,,,,,,,,,
,,,,,,,,,,,,,,,,,6613.6648,,,,,,,,,
,,,,,,,,,,,,,,,,,6678.2774,,,,,,,,,
