Cr II 4617-19,B,,,,,,,Cr II/Fe II,4617-21,Cr II,4617-19,Cr II,4617-19,,,,4619.1957,,,,,,,,,
Fe II 4629,B,,,,,,,Ti II/Fe II,4629.3,Fe II,4629.3,Fe II,4629.3,Fe II/Cr II,4630-35,TSP,4630.4155,,,,,,,,,
Cr II/Fe II 4634-35,B,,,,,,,,,Cr II/Fe II,4634-35,Cr II/Fe II,4634-35,Fe II/Cr II,4630-35,TSP,4636.1514,,,,,,,,,
,,,,,,,,,,,,,,,,,4648.5796,,,,,,,,,
Fe II 4667-70,C,,,,,,,Fe II/Sc II,4667-70,,,Fe II,4667-70,,,,4668.8875,,,,,,,,,
,,,,,,,,,,,,,,,,,4680.6884,,,,,,,,,
Mg I 4703,B,,,,,,,Mg I,4702.96,,,,,Mg I,4703,PK,4703.2163,,,,,,,,,
Ti II 4709,C,,,,,,,Ti II,4708.7,,,,,,,PK,4708.5742,,,,,,,,,
,,,,,,,,,,,,,,,,MK,4715.5,,,,,,,,,
Fe II 4732,B,,,,,,,Fe II,4731.5,Fe II,4731.44,,,,,AW,4731.1592,,,,,,,,,
,,,,,,,,,,,,,,,,AW,4735.7578,,,,,,,,,
,,,,,,,,,,,,,,,,,4755.961,,,,,,,,,
Ti II 4763-65,B,,,,,,,Ti II,4763-65,,,,,Ti II,4764,PK,4764.7915,,,,,,,,,
,,,,,,,,,,,,,,,,PK,4769.626,,,,,,,,,
,,,,,,,,,,,,,,,,AW,4782.7368,,,,,,,,,
,,,,,,,,,,,,,,,,AW,4788.1997,,,,,,,,,
Ti II 4806,C,,,,,,,Ti II,4805.8,,,,,,,PK,4803.9082,,,,,,,,,
Cr II 4812,C,,,,,,,Cr II,4812.34,,,,,,,PK,4813.0723,,,,,,,,,
Cr II 4824,A,,,,,,,Cr II,4824.1,Cr II,4824.13,,,Cr II,4824,,4824.9155,,,,,,,,,
H$\beta$,A,Hbeta,4861.33,,,,,Hbeta,4861.34,Hbeta,4861.33,,,Hbeta,4861.33,,4861.6124,,,,,,,,,
,,,,,,,,,,,,,,,,MSK,4885.74,,,,,,,,,
Fe I 4891,B,,,,,,,Fe I,4891,,,,,Fe I,4891.5,MWK,4889.06,,,,,,,,,
Y II 4900,C,,,,,,,Y II,4900.1,,,,,,,,4901.7361,,,,,,,,,
Ti II 4911,C,,,,,,,Ti II,4911.2,,,,,,,,4911.255,,,,,,,,,
Fe II 4924,A,,,,,,,Fe II,4923.94,Fe II,4923.92,,,Fe II,4923.92,,4922.1071,,,,,,,,,
Ba II 4934,B,,,,,,,Ba II,4934.08,,,,,Fe I/Ba II,4934,AW,4934.4648,,,,,,,,,
,,,,,,,,,,,,,,,,AW,4938.4839,,,,,,,,,
Fe I 4957,B,,,,,,,Fe I,4957.6,,,,,Fe I,4957,,4957.7861,,,,,,,,,
,,,,,,,,,,,,,,,,wide,4969.3082,,,,,,,,,
,,,,,,,,,,,,,,,,ATP,4983.5796,,,,,,,,,
,,,,,,,,,,,,,,,,ATP,4992.5566,,,,,,,,,
,,,,,,,,,,,,,,,,TP,5005.2305,,,,,,,,,
Fe II 5018,B,,,,,,,,,Fe II,5018.43,,,Fe II,5018.44,TP,5017.8774,,,,,,,,,
Si II 5041,B,,,,,,,,,Si II,5041.13,,,Si II,5041.02,,5040.6582,,,,,,,,,
,,,,,,,,,,,,,,,,,5051.6787,,,,,,,,,
Si II 5056,B,,,,,,,,,Si II,5056.17,,,Si II,5056,MK,5057.4,,,,,,,,,
,,,,,,,,,,,,,,,,MK,5068.34,,,,,,,,,
,,,,,,,,,,,,,,,,,5080.2669,,,,,,,,,
,,,,,,,,,,,,,,,,,5098.9828,,,,,,,,,
,,,,,,,,,,,,,,,,,5108.9722,,,,,,,,,
,,,,,,,,,,,,,,,,M,5125.4,,,,,,,,,
,,,,,,,,,,,,,,,,,5139.2438,,,,,,,,,
,,,,,,,,,,,,,,,,,5153.9572,,,,,,,,,
Fe II/Mg I 5167-73,B,Mg I,5167-73,,,,,,,Fe II,5168.97,,,Mg I,5167-73,,5169.5372,,,,,,,,,
Mg I 5184,A,Mg I,5184,,,,,,,Mg I,5183.62,,,Mg I,5183.6,,5185.1539,,,,,,,,,
Fe II 5198,B,,,,,,,,,Fe II,5197.57,,,Fe II,5197.58,M,5198.16,,,,,,,,,
,,,,,,,,,,,,,,,,,5206.4803,,,,,,,,,
,,,,,,,,,,,,,,,,,5217.0623,,,,,,,,,
Ti II 5227,C,,,,,,,,,,,,,Ti II/Fe II,5227-34,TP,5227.916,,,,,,,,,
Fe II 5235,C,,,,,,,,,Fe II,5234.62,,,Ti II/Fe II,5227-34,TP,5234.3428,,,,,,,,,
,,,,,,,,,,,,,,,,M,5254.74,,,,,,,,,
Fe II 5265,C,,,,,,,,,Fe II,5264.8,,,,,SW,5265.7725,,,,,,,,,
,,,,,,,,,,,,,,,,SW,5269.3115,,,,,,,,,
Fe II 5276,B,,,,,,,,,Fe II,5275.99,,,Fe II,5276,MK,5275.67,,,,,,,,,
Fe II 5284,C,,,,,,,,,Fe II,5284.09,,,,,,5283.1606,,,,,,,,,
,,,,,,,,,,,,,,,,MW,5299.44,,,,,,,,,
Fe II 5317,B,,,,,,,,,Fe II,5316.7,,,Fe II,5317,,5316.9102,,,,,,,,,
,,,,,,,,,,,,,,,,,5327.9759,,,,,,,,,
,,,,,,,,,,,,,,,,,5338.982,,,,,,,,,
,,,,,,,,,,,,,,,,MK,5350.8,,,,,,,,,
Fe II 5363,C,,,,,,,,,Fe II,5362.86,,,,,,5365.4111,,,,,,,,,
,,,,,,,,,,,,,,,,,5370.729,,,,,,,,,
,,,,,,,,,,,,,,,,,5381.9447,,,,,,,,,
,,,,,,,,,,,,,,,,M,5398.35,,,,,,,,,
,,,,,,,,,,,,,,,,,5405.7,,,,,,,,,
,,,,,,,,,,,,,,,,MSK,5411.19,,,,,,,,,
,,,,,,,,,,,,,,,,MSK,5415.47,,,,,,,,,
,,,,,,,,,,,,,,,,M,5424.51,,,,,,,,,
,,,,,,,,,,,,,,,,M,5430.21,,,,,,,,,
S II 5433,C,,,,,,,,,S II,5432.83,,,,,M,5434.49,,,,,,,,,
,,,,,,,,,,,,,,,,,5446.8267,,,,,,,,,
,,,,,,,,,,,,,,,,,5456.1839,,,,,,,,,
,,,,,,,,,,,,,,,,,5463.9425,,,,,,,,,
,,,,,,,,,,,,,,,,,5477.384,,,,,,,,,
,,,,,,,,,,,,,,,,M,5488.7,,,,,,,,,
,,,,,,,,,,,,,,,,MSK,5497.26,,,,,,,,,
,,,,,,,,,,,,,,,,wide,5505.8983,,,,,,,,,
,,,,,,,,,,,,,,,,PK,5528.2847,,,,,,,,,
Fe II 5535,C,,,,,,,,,Fe II,5534.86,,,,,PK,5535.3481,,,,,,,,,
,,,,,,,,,,,,,,,,,5545.7741,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5566.9927,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5573.7104,,,,,,,,,
Ca I/Fe I 5587-90,C,,,,,,,,,,,,,Ca I/Fe I,5587-90,TP,5588.7275,,,,,,,,,
,,,,,,,,,,,,,,,,TP,5599.7764,,,,,,,,,
,,,,,,,,,,,,,,,,,5616.5789,,,,,,,,,
,,,,,,,,,,,,,,,,,5625.9144,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5636.6812,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5642.0605,,,,,,,,,
,,,,,,,,,,,,,,,,,5659.5136,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5701.1074,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5709.9819,,,,,,,,,
,,,,,,,,,,,,,,,,M,5754.52,,,,,,,,,
,,,,,,,,,,,,,,,,M,5784.96,,,,,,,,,
,,,,,,,,,,,,,,,,M,5816.82,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5853.7705,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5858.6504,,,,,,,,,
Na I 5890,B,Na I,5890,,,,,,,,,,,Na I,5889-96,TP,5890.7861,,,,,,,,,
Na I 5896,B,Na I,5896,,,,,,,,,,,Na I,5889-96,TP,5897.2461,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,5915.1763,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,5921.3042,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,5932.37,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,5943.439,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,5948.7534,,,,,,,,,
Telluric $H_2O$/Si II 5958,C,,,,,,,,,telluric + Si II,5957.61,,,,,telluric?,5958.7,,,,,,,,,
,,,,,,,,,,,,,,,,,5968.8038,,,,,,,,,
Telluric $H_2O$/Si II 5979,C,,,,,,,,,Si II,5978.96,,,,,,5977.4194,,,,,,,,,
,,,,,,,,,,,,,,,,,5987.9286,,,,,,,,,
,,,,,,,,,,,,,,,,,6066.3167,,,,,,,,,
,,,,,,,,,,,,,,,,,6102.8523,,,,,,,,,
,,,,,,,,,,,,,,,,,6122.8745,,,,,,,,,
,,,,,,,,,,,,,,,,,6140.6281,,,,,,,,,
,,,,,,,,,,,,,,,,TP,6162.1938,,,,,,,,,
,,,,,,,,,,,,,,,,TP,6170.6201,,,,,,,,,
,,,,,,,,,,,,,,,,,6193.4926,,,,,,,,,
,,,,,,,,,,,,,,,,AW,6214.4375,,,,,,,,,
,,,,,,,,,,,,,,,,AW,6218.959,,,,,,,,,
,,,,,,,,,,,,,,,,,6232.7098,,,,,,,,,
,,,,,,,,,,,,,,,,,6240.128,,,,,,,,,
Fe II 6248,C,,,,,,,,,Fe II,6247.56,,,,,,6247.4455,,,,,,,,,
Telluric $O_2$,A,,,,,,,,,,,,,,,telluric?,6279.6522,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6293.2412,,,,,,,,,
,,,,,,,,,,,,,,,,,6301.2114,,,,,,,,,
,,,,,,,,,,,,,,,,,6319.4453,,,,,,,,,
Si II 6347,C,,,,,,,,,Si II,6347.1,,,,,,6348.0885,,,,,,,,,
Si II 6371,C,,,,,,,,,Si II,6371.36,,,,,,6371.6866,,,,,,,,,
Fe II 6417,C,,,,,,,,,Fe II,6416.9,,,,,,6418.1059,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6495.3367,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6517.2238,,,,,,,,,
H$\alpha$,A,Halfa,6562.82,,,,,,,Halfa,6562.82,,,Halfa,6562.82,,6563.244,,,,,,,,,
