H-16/He I 3703-05,B,,,,,,,H-16/He I,3703-05,,,,,,,,,,3705.1893,,,,,,,Walborn - Atlas of yellow red OB spectra
Interstellar 5780,C,,,,,,,,,,,interstellar,,,,,,,5780.6215,,,,,,,
,,,,,,,,,,,,,,,,,,,5834.9042,,,,,,,
He I 5876,A,,,,,,,He I,5876,,,He I ,5876,He I,5876,He I,5876,,5876.8515,,,,,,,
Na I 5890 (interstellar),A,Na I,5890,,,,,Na I,5890,,,interstellar Na I,5890,Na I,5890,Na I,5890,PK,5890.8677,,,,,,,
Na I 5896 (interstellar),A,Na I,5896,,,,,Na I,5896,,,interstellar Na I,5896,Na I,5896,Na I,5896,PK,5897.2734,,,,,,,
C II 6099,C,,,,,,,,,,,,,C II,6098.62,,,M,6098.72,,,,,,,
,,,,,,,,,,,,,,,,,,M,6204.34,,,,,,,
Telluric $O_2$ 6277,A,,,,,,,,,,,Telluric O2,6277,,,,,telluric?,6280.4015,,,,,,,
,,,,,,,,,,,,,,,,,,M,6317.6,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6476.8149,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6484.3071,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6493.4581,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6517.4757,,,,,,,
,,,,,,,,,,,,,,,,,,,6534.5149,,,,,,,
H$\alpha$ 6563,A,H-alfa,6562.82,,,,,Halfa,6563,,,Halfa,6563,Halfa,6562.82,Halfa,6562.82,,6563.1838,,,,,,,
He I 6678,B,,,,,,,,,,,,,,,He I,6678.15,,6678.6543,,,,,,,
