He I 5876,A,,,,,,,,,He I,5876,,,He I,5876,He I,5875.62,He I,5876,,5877.3372,,,,,,,
Na I 5890 (is),A,Na I,5890,,,,,,,Na I,5890,,,is Na I,5890,Na I,5890,Na I,5890,is,5890.9722,,,,,,,
Na I 5896 (is),A,Na I,5896,,,,,,,Na I,5896,,,is Na I,5896,Na I,5896,Na I,5896,is,5899.4077,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5910.94,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5920.9132,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5932.33,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5945.1448,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5958.3692,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5969.0119,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5977.3626,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5990.184,,,,,,,
,,,,,,,,,,,,,,,,,,,,M,6016.48,,,,,,,
C II 6095-99,C,,,,,,,,,,,,,,,C II,6095-99,,,,6098.2395,,,,,,,
Telluric $O_2$,A,,,,,,,,,,,,,telluric O2,6277,,,,,telluric?,6279.533,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6294.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6318.85,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6347.4388,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6372.0189,,,,,,,
Na I 6402,C,,,,,,,,,,,,,,,Na I,6402.25,,,,6402.9412,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6476.375,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6483.4712,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6491.9,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6517.1491,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6534.3606,,,,,,,
,,,,,,,,,,,,,,,,,,,,MSK,6546.57,,,,,,,
H$\alpha$,A,H-alfa,6562.82,,,,,,,,,,,H-alfa,6563,H-alfa,6562.82,H-alfa,6562.82,,6563.6132,,,,,,,
C II 6583,C,,,,,,,,,,,,,,,C II,6582.85,,,MK,6582.23,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6599.9521,,,,,,,
He I 6678,A,,,,,,,,,,,,,,,,,He I,6678.15,,6679.2005,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6785.1166,,,,,,,
