H9,C,H9,3835,,,,,,,,,,3834.0155,,,,,,,,,
,,,,,,,,,,,,wide,5126.0739,,,,,,,,,
Ti I/Fe I 5145-48,C,,,,,Ti I/Fe I,5145-48,,,,,AVW,5144.103,,,,,,,,,
Ti I/Fe I 5152,C,,,,,Ti I/Fe I,5152,,,,,AVW,5151.5098,,,,,,,,,
Mg I 5167-72,A,Mg I,5167.32,,,Mg I,5167,,,Mg I,5167.32,AW,5167.9937,,,,,,,,,
,,Mg I,5172.68,,,Mg I,5172,,,Mg I,5172.68,AW,5172.9253,,,,,,,,,
Mg I 5184,A,Mg I,5183.6,,,Mg I,5183.6,,,Mg I,5183.6,,5183.1848,,,,,,,,,
Fe I/Ti I 5192,B,,,,,Fe I/Ti I/V I,5192-95,,,Fe I/Ti I,5192,,5193.8538,,,,,,,,,
Fe I/Cr I 5204-08,B,,,,,Fe I/Cr I,5204-08,,,Cr I/Fe I,5204-08,,5207.4758,,,,,,,,,
Fe I/Cr I 5226-27,B,,,,,Fe I/Cr I,5226-27,,,Fe I,5227,,5226.138,,,,,,,,,
,,,,,,,,,,Fe I,5232.94,M,5234.5,,,,,,,,,
Fe I/Ti I 5250-52,B,,,,,Fe I/Ti I,5250-52,,,Fe I,5250-51,,5250.721,,,,,,,,,
Fe I 5266,C,,,,,Fe I/Co I,5266.5,,,Fe I/Ca I/Cr I,5262-64,AW,5266.4116,,,,,,,,,
Fe I/Ca I 5270,B,,,,,Fe I/Ca I,5270,,,Fe I/Ca I,5270,AW,5271.1543,,,,,,,,,
Ti I/Fe I 528-84,B,,,,,Ti I/Fe I,5282-84,,,Fe I,5282-84,,5282.299,,,,,,,,,
Ti I/Cr I 5297,B,,,,,Ti I/Cr I,5297,,,Cr I,5297-98,,5298.2903,,,,,,,,,
Fe I/Cr I 5328,B,,,,,Fe I/Cr I,5328,,,Fe I,5328,,5328.0771,,,,,,,,,
Fe I/Mn I 5339-41,B,,,,,Fe I/Mn I/Sc I,5339-41,,,Fe I/Mn I,5340-41,,5341.7358,,,,,,,,,
Cr I 5346-48,C,,,,,,,,,Cr I,5346-48,,5348.0903,,,,,,,,,
Fe I 5371,B,,,,,Fe I,5371.49,,,Fe I,5371.49,,5370.1794,,,,,,,,,
Ti I/Fe I 5397,B,,,,,Ti I/Fe I,5397,,,Fe I,5397.13,,5396.1352,,,,,,,,,
Fe I 5406,B,,,,,Fe I,5405.78,,,Fe I,5406,,5406.3256,,,,,,,,,
,,,,,,,,,,,,M,5423,,,,,,,,,
Fe I 5435,B,,,,,Fe I,5434.5,,,Fe I,5434.5,,5433.0314,,,,,,,,,
Fe I 5447,B,,,,,Fe I,5446.9,,,Fe I,5447,,5447.0547,,,,,,,,,
Fe I 5456,B,,,,,Fe I,5455.61,,,Fe I,5455.61,,5455.3695,,,,,,,,,
,,,,,,,,,,,,,5463.662,,,,,,,,,
Ni I 5477,C,,,,,,,,,Ni I,5477,AW,5476.1836,,,,,,,,,
,,,,,,Ti I/Sc I/V I,5482,,,Mn I,5481,AW,5481.5122,,,,,,,,,
Ti I/Fe I 5490,C,,,,,Ti I/Fe I,5490,,,,,,5489.6937,,,,,,,,,
,,,,,,V I,5507.75,,,Fe I,5506.78,TP,5507.2446,,,,,,,,,
Ti I 5514,C,,,,,Ti I/Fe I/V I,5513-15,,,Ti I,5514,TP,5513.7974,,,,,,,,,
,,,,,,V I/Y I,5527.7,,,Mg I,5528.4,TP,5528.8979,,,,,,,,,
,,,,,,,,,,,,TP,5535.4497,,,,,,,,,
Fe I/V I 5544-47,C,,,,,,,,,Fe I/V I,5544-47,,5544.7285,,,,,,,,,
,,,,,,,,,,,,MSK,5555.5,,,,,,,,,
,,,,,,,,,,,,wide,5567.1315,,,,,,,,,
Fe I/Ca I/Ni I 5587-89,C,,,,,,,,,Fe I/Ca I/Ni I,5587-89,,5589.0019,,,,,,,,,
Fe I/Ca I 5601-03,B,,,,,Fe I/Ca I,5602.9,,,Fe I/Ca I,5601-03,,5601.2362,,,,,,,,,
Fe I 5616-19,B,,,,,Fe I,5616-19,,,Fe I,5616,TP,5617.6353,,,,,,,,,
Fe I/V I 5624-2,B,,,,,Fe I/V I,5624-28,,,Fe I/V I,5624-28,TP,5624.6421,,,,,,,,,
,,,,,,,,,,,,AW,5637.9966,,,,,,,,,
,,,,,,,,,,,,AW,5641.7573,,,,,,,,,
Fe I 5659,B,,,,,Fe I,5659,,,Fe I/Sc II,5658-59,,5659.3784,,,,,,,,,
