Fe I/Ti I 5002-07,B,,,,,Fe I/Ti I,5002-07,Fe I/Ti I,5000-06,wide,5004.014,,,,,,,,
Fe I/Fe II/Ti I 5012-18,B,,,,,Fe I/Fe II/Ti I,5012-18,Fe I/Fe II/Ti I,5012-18,wide,5016.0235,,,,,,,,
Fe I 5027-28,C,,,,,,,Fe I,5027-28,,5029.0358,,,,,,,,
,,,,,,Fe I/Ti I/Ni I,5035-41,Fe I,5041,,5039.3549,,,,,,,,
Fe I 5050-52,B,,,,,Fe I,5050-52,Fe I,5050,,5050.3265,,,,,,,,
Fe I 5069,C,,,,,Fe I,5068.77,,,,5068.874,,,,,,,,
Fe I/Ni I 5079-81,B,,,,,Fe I/Ni I,5079-81,Fe I/Ni I,5080,,5079.8438,,,,,,,,
Fe I 5097-99,B,,,,,Fe I,5097-99,Fe I,5099,,5098.8476,,,,,,,,
Fe I 5107-10,B,,,,,Fe I,5107-10,Fe I,5108-10,,5108.2735,,,,,,,,
Fe I 5124-25,B,,,,,Fe I,5124-25,Fe I,5125,AW,5125.6821,,,,,,,,
,,,,,,,,,,AW,5130.5034,,,,,,,,
Fe I 5139-42,B,,,,,Fe I,5139-42,Fe I,5139-42,,5139.1115,,,,,,,,
Fe I 5151-52,B,,,,,Fe I,5151-52,,,,5152.8874,,,,,,,,
Mg I 5167-73,A,Mg I,5167-73,,,Mg I,5167-72,Mg I,5167-72,,5168.7081,,,,,,,,
Mg I 5184,A,Mg I,5183.6,,,Mg I,5183.6,Mg I,5183.6,M,5186,,,,,,,,
Fe I 5192,C,,,,,Ti II/Ca I/Fe I,5189-92,Fe I,5192,M,5190.5,,,,,,,,
Fe I 5195,C,,,,,Fe I,5195,,,M,5195,,,,,,,,
Fe I/Cr I 5202-08,C,,,,,Fe I/Cr I,5202-8,Cr I,5206-08,,5205.2698,,,,,,,,
Fe I 5215-17,B,,,,,Fe I,5215-17,Fe I,5215-17,M,5216,,,,,,,,
Fe I 5227,B,,,,,Fe I,5227,Fe I,5227,TP,5226.6318,,,,,,,,
