Ni I/Fe I 5710,C,,,,,,,,,Ni I/Fe I,5710,TSP,5710.5132,,,,,,,,
,,,,,,,,,,,,,5729.0431,,,,,,,,
,,,,,,,,,,,,M,5740.25,,,,,,,,
TiO 5760,C,,,,,,,,,TiO,5760,,5764.9787,,,,,,,,
,,,,,,,,,,,,,5784.5928,,,,,,,,
,,,,,,,,,,,,MSK,5799.54,,,,,,,,
TiO 5814,C,,,,,,,,,TiO,5814,M,5818.04,,,,,,,,
TiO 5847,C,,,,,,,,,TiO,5847,,5840.1154,,,,,,,,
,,,,,,,,,,,,,5854.9142,,,,,,,,
,,,,,,,,,,,,,5867.0159,,,,,,,,
,,,,,,,,,,,,,5880.0431,,,,,,,,
Na I 5889,A,Na I,5889,,,Na I,5889,,,Na I,5889,TP,5892.1929,,,,,,,,
Na I 5896,A,Na I,5896,,,Na I,5896,,,Na I,5896,TP,5899.0854,,,,,,,,
,,,,,,,,,,,,M,5909.13,,,,,,,,
,,,,,,,,,,,,MS,5915.29,,,,,,,,
,,,,,,,,,,,,MS,5923.83,,,,,,,,
,,,,,,,,,,,,MS,5942.33,,,,,,,,
,,,,,,,,,,,,TP,5953.1504,,,,,,,,
,,,,,,,,,,,,TP,5958.5635,,,,,,,,
,,,,,,,,,,,,MSK,5967,,,,,,,,
,,,,,,,,,,,,,5978.9765,,,,,,,,
,,,,,,,,,,,,TSP,6003.6235,,,,,,,,
,,,,,,,,,,,,TSP,6009.0425,,,,,,,,
,,,,,,,,,,,,M,6039.58,,,,,,,,
,,,,,,,,,,,,KP,6061.541,,,,,,,,
,,,,,,,,,,,,KP,6066.0659,,,,,,,,
,,,,,,,,,,,,TP,6083.377,,,,,,,,
,,,,,,,,,,,,TP,6091.4951,,,,,,,,
,,,,,,,,,,,,,6105.3587,,,,,,,,
,,,,,,,,,,,,MK,6112.16,,,,,,,,
Ca I 6122,C,,,,,,,,,Ca I,6122,,6122.6607,,,,,,,,
Fe I 6137,C,,,,,,,,,Fe I,6137,,6137.9786,,,,,,,,
,,,,,,,,,,,,M,6152.96,,,,,,,,
TiO 6159,C,,,,,,,,,Ti O,6159,,6165.1075,,,,,,,,
,,,,,,,,,,,,MK,6177.63,,,,,,,,
,,,,,,,,,,,,,6192.6386,,,,,,,,
,,,,,,,,,,,,M,6218.42,,,,,,,,
,,,,,,,,,,,,,6228.4835,,,,,,,,
V I/Fe I 6240-43,C,,,,,,,,,V I/Fe I,6240-43,,6242.2764,,,,,,,,
Ti I 6258-61,C,,,,,,,,,Ti I,6258-61,,6259.0403,,,,,,,,
TiO 6268,C,,,,,,,,,TiO,6268,,6270.3552,,,,,,,,
,,,,,,,,,,,,,6278.9914,,,,,,,,
,,,,,,,,,,,,,6297.245,,,,,,,,
,,,,,,,,,,,,MW,6325.16,,,,,,,,
,,,,,,,,,,,,MW,6337.02,,,,,,,,
,,,,,,,,,,,,,6347.2632,,,,,,,,
TiO 6358,C,,,,,,,,,TiO,6358,,6361.2251,,,,,,,,
,,,,,,,,,,,,M,6382.56,,,,,,,,
,,,,,,,,,,,,MS,6387.78,,,,,,,,
,,,,,,,,,,,,M,6395.37,,,,,,,,
,,,,,,,,,,,,MK,6401.06,,,,,,,,
,,,,,,,,,,,,MSK,6415.77,,,,,,,,
,,,,,,,,,,,,,6422.763,,,,,,,,
,,,,,,,,,,,,,6432.2,,,,,,,,
,,,,,,,,,,,,,6452.1009,,,,,,,,
,,,,,,,,,,,,,6464.4658,,,,,,,,
TiO 6478,C,,,,,,,,,TiO,6478,MK,6478.38,,,,,,,,
,,,,,,,,,,,,,6485.5782,,,,,,,,
Ba I/Fe I/Ca I 6497,C,,,,,,,,,Ba I/Fe I/Ca I,6497,,6497.7922,,,,,,,,
,,,,,,,,,,,,,6517.2946,,,,,,,,
,,,,,,,,,,,,MK,6528.2,,,,,,,,
,,,,,,,,,,,,MK,6533.89,,,,,,,,
,,,,,,,,,,,,,6555.6656,,,,,,,,
H$\alpha$,A,H-alfa,6562.82,,,H-alfa,6562.82,,,H-alfa,6562.82,,6564.8493,,,,,,,,
TiO 6569,C,,,,,,,,,TiO,6569,,6575.0666,,,,,,,,
,,,,,,,,,,,,MK,6582.27,,,,,,,,
,,,,,,,,,,,,,6596.1687,,,,,,,,
,,,,,,,,,,,,,6609.4927,,,,,,,,
,,,,,,,,,,,,,6627.8437,,,,,,,,
,,,,,,,,,,,,,6638.1439,,,,,,,,
,,,,,,,,,,,,,6653.91,,,,,,,,
,,,,,,,,,,,,,6684.27,,,,,,,,
,,,,,,,,,,,,,6720.32,,,,,,,,
,,,,,,,,,,,,,6752.1,,,,,,,,
,,,,,,,,,,,,,6786.73,,,,,,,,
,,,,,,,,,,,,,6818.04,,,,,,,,
Telluric O2,C,,,,,,,,,Telluric O2,,,6871.17,,,,,,,,
TiO 7054,C,,,,,,,,,TiO,7054,,7058.08,,,,,,,,
TiO 7088,C,,,,,,,,,TiO,7088,,7091.76,,,,,,,,
TiO 7126,C,,,,,,,,,TiO,7126,,7130.19,,,,,,,,
