Cr II/Fe II 4634-35,A,,,,,,,Cr II/Fe II,4634-35,Cr II/Fe II,4634-35,Cr II/Fe II,4634-35,Cr II/Fe II,4634-35,,4634.3916,,,,,,,,,
,,,,,,,,,,,,,,,,,4647.8293,,,,,,,,,
Fe II 4657,C,,,,,,,,,Fe II/Ti II,4657,Fe II,4657,,,M,4656.4,,,,,,,,,
Fe II 4667,B,,,,,,,Fe II,4666.75,Fe II,4666.75,Fe II,4666.8,Fe II/Cr I,4667,,4667.862,,,,,,,,,
Fe II 4670,C,,,,,,,,,Fe II/Sc II,4670,Fe II,4670.2,,,,4699.3768,,,,,,,,,
Fe II 4731,B,,,,,Fe II,4731.44,,,Fe II,4731.44,,,,,,4729.8187,,,,,,,,,
,,,,,,,,,,,,,,,,,4737.9767,,,,,,,,,
,,,,,,,,,,,,,,,,,4755.5715,,,,,,,,,
,,,,,,,,,,,,,,,,,4764.988,,,,,,,,,
Ti II 4805,C,,,,,,,,,Ti II,4805.1,,,Ti II,4806,,4805.139,,,,,,,,,
,,,,,,,,,,,,,,,,,4812.8173,,,,,,,,,
Cr II 4824,B,,,,,,,,,Cr II,4824.13,,,Cr II,4824.13,,4825.1913,,,,,,,,,
H$\beta$,A,Hbeta,4861.33,,,,,,,Hbeta,4861.33,,,Hbeta,4861.33,,4861.3856,,,,,,,,,
Cr II 4884,C,,,,,,,,,Cr II,4884.57,,,,,MK,4884.93,,,,,,,,,
Fe I 4892,B,,,,,Fe I,4891.49,,,,,,,Fe I,4891.5,MSK,4891.59,,,,,,,,,
,,,,,,,,,,,,,,,,,4901.5719,,,,,,,,,
Ti II 4911,C,,,,,Ti II/Fe II,4911-13,,,Ti II,4911.18,,,,,,4911.7965,,,,,,,,,
Fe II 4924,B,,,,,Fe II,4923.92,,,Fe II,4923.92,,,Fe II,4923.92,,4922.6658,,,,,,,,,
Fe I 4934,C,,,,,Fe I,4934,,,,,,,Fe I/Ba II,4934,KP,4934.5967,,,,,,,,,
,,,,,,,,,,,,,,,,KP,4939.2388,,,,,,,,,
,,,,,,,,,,,,,,,,TSP,4952.105,,,,,,,,,
Fe I 4958,B,,,,,Fe I,4957.6,,,Fe I,4957.61,,,Fe I,4957,TSP,4957.8477,,,,,,,,,
Fe II 4985,C,,,,,,,,,Fe II,4984.56,,,,,,4984.3482,,,,,,,,,
,,,,,,,,,,,,,,,,,4991.2856,,,,,,,,,
,,,,,,,,,,,,,,Fe I/Fe II,5002,AW,5002.8818,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5006.6436,,,,,,,,,
Fe II 5018,B,,,,,,,,,Fe II,5018.43,,,Fe iI,5018.44,,5019.4262,,,,,,,,,
Fe I/Fe II 5036,C,,,,,Fe I/Fe II,5035.7,,,Fe II,5036-37,,,,,M,5036.33,,,,,,,,,
Si II 5041,B,,,,,Si II,5041,,,Si II,5041.13,,,Si II,5041.02,MK,5042.52,,,,,,,,,
Si II 5056,B,,,,,Si II,5056,,,Si II,5056.17,,,Si II,5056,M,5057.28,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5067.9106,,,,,,,,,
