short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
Ti II/Ni I 4805-07,A,4806.53,0.023,9.38,other,confirmed,,"Ti II 4805.1, Ni I 4807.0, Ti II 4806.3"
Cr II/Mn I/Y II/Ni I 4823-29,A,4824.81,0.0327,3.07,other,confirmed,,"Cr II 4824.1, Mn I 4823.5, Y II 4823.3, Ni I 4829.0"
Fe I/Cr II 4843-48,A,4845.31,0.036,20.0,other,confirmed,,"Cr II 4848.2, Fe I 4843.1, Fe I 4844.0, Fe I 4845.6"
Ni I/Y II/Fe I/Cr II 4855-56,A,4853.72,0.0201,7.23,other,confirmed,,"Ni I 4855.4, Y II 4854.9, Fe I 4855.7, Cr II 4856.2"
Hβ  4861,A,4861.89,0.4224,9.85,Balmer,confirmed,,"H I 4861.3, H I 4861.4"
Fe I/Ti II 4871-74,A,4873.73,0.0877,8.18,other,confirmed,,"Fe I 4872.1, Fe I 4871.3, Ti II 4874.0"
Fe I 4885-89,A,4886.97,0.0707,9.78,other,confirmed,,"Fe I 4886.3, Fe I 4887.2, Fe I 4888.6, Fe I 4885.4"
Fe I 4891,A,4891.39,0.0327,2.99,other,confirmed,,"Fe I 4890.8, Fe I 4891.5"
Fe I/Ti II 4910-11,A,4911.19,0.0292,2.61,other,confirmed,,"Ti II 4911.2, Fe I 4910.6, Fe I 4910.3, Fe I 4910.0"
Fe I/Fe II 4919-24,A,4922.2,0.0808,6.09,other,confirmed,,"Fe II 4923.9, Fe I 4920.5, Fe I 4919.0"
Ba II 4934,A,4933.96,0.0205,2.54,other,confirmed,,Ba II 4934.1
Fe I 4939-40,A,4938.13,0.0533,5.99,other,confirmed,,"Fe I 4938.8, Fe I 4939.2, Fe I 4939.7"
Fe I 4957-58,A,4957.87,0.0399,3.72,other,confirmed,,"Fe I 4957.6, Fe I 4957.3"
Fe I/Ni I 4982-84,A,4983.66,0.0931,5.26,other,confirmed,,"Fe I 4983.9, Fe I 4982.5, Fe I 4983.2, Ni I 4984.1"
Fe I/Ti I 5002-07,A,5004.84,0.038,7.86,other,confirmed,,"Fe I 5006.1, Fe I 5005.7, Fe I 5001.9, Ti I 5007.2"
Fe II/Ni I/Fe I 5015-18,A,5017.13,0.0665,8.99,other,confirmed,,"Fe II 5018.4, Ni I 5017.6, Fe I 5014.9"
Fe I 5041-42,A,5041.03,0.0838,5.42,other,confirmed,,"Fe I 5041.8, Fe I 5040.9, Fe I 5041.1"
Fe I/C I 5050-52,A,5051.51,0.0448,5.12,other,confirmed,,"Fe I 5051.6, Fe I 5049.8, C I 5052.2"
Fe I 5065-72,A,5069.12,0.039,10.07,other,confirmed,,"Fe I 5068.8, Fe I 5067.1, Fe I 5065.0, Fe I 5072.1"
Ni I/Fe I 5079-81,A,5080.96,0.0765,8.27,other,confirmed,,"Ni I 5080.5, Ni I 5081.1, Fe I 5079.7, Fe I 5079.2"
