wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
6294.07,0.0377,16.54,Gaussian,deblended,,other
6307.03,0.0073,6.29,Gaussian,deblended,,other
6318.87,0.0192,8.93,Gaussian,deblended,,other
6347.45,0.0281,6.1,Gaussian,single,,other
6371.71,0.0239,4.88,Gaussian,single,,other
6416.71,0.007,6.67,Gaussian,single,,other
6433.4,0.0046,3.16,Gaussian,single,,other
6458.6,0.0187,9.8,Gaussian,deblended,,other
6462.89,0.0053,18.84,Gaussian,deblended,,other
6476.34,0.0196,4.04,Gaussian,deblended,,other
6485.73,0.0219,5.65,Gaussian,deblended,,other
6494.49,0.0487,7.26,Gaussian,deblended,,other
6517.52,0.102,7.95,Gaussian,deblended,,other
6539.96,0.0369,18.84,Gaussian,deblended,,other
6549.24,0.0554,9.91,Gaussian,deblended,,other
6563.04,0.4583,17.78,Voigt,deblended,Hα,Balmer
6574.81,0.0323,5.64,Gaussian,deblended,,other
6582.84,0.0343,14.73,Gaussian,deblended,,other
