wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
4618.44,0.026,8.09,Gaussian,deblended,,other,confirmed,102,"Cr II 4618.8, Fe II 4620.5, Cr II 4616.6, Fe I 4619.3",Cr II/Fe II/Fe I 4617-21
4632.72,0.0268,13.5,Gaussian,deblended,,other,confirmed,81,"Cr II 4634.1, Fe II 4629.3, Fe I 4632.9, Ti II 4629.3",Cr II/Fe II/Fe I/Ti II 4629-34
4647.82,0.0228,7.29,Gaussian,deblended,,other,confirmed,50,"Fe I 4647.4, Ni I 4648.6, Cr I 4646.2",Fe I/Ni I/Cr I 4646-49
4655.54,0.0105,3.53,Gaussian,deblended,,other,uncertain_discarded,34,,
4668.52,0.0591,7.6,Gaussian,deblended,,other,confirmed,84,"Fe I 4668.1, Fe I 4667.4, Fe II 4666.8, Sc II 4670.4",Fe I/Fe II/Sc II 4667-70
4679.63,0.0196,7.3,Gaussian,deblended,,other,confirmed,46,"Fe I 4678.9, Fe I 4679.2, Zn I 4680.1",Fe I/Zn I 4679-80
4689.49,0.0092,6.65,Gaussian,deblended,,other,confirmed,60,"Fe I 4691.4, Fe I 4690.1, Ni I 4686.2, Cr I 4689.4",Fe I/Ni I/Cr I 4686-91
4704.41,0.0425,14.22,Gaussian,deblended,,other,confirmed,73,"Mg I 4703.0, Fe I 4707.3, Ni I 4703.8",Mg I/Fe I/Ni I 4703-07
4716.31,0.008,5.69,Gaussian,deblended,,other,uncertain_discarded,67,,
4733.6,0.0309,13.0,Gaussian,deblended,,other,confirmed,72,"Fe II 4731.4, Fe I 4736.8, Fe I 4733.6",Fe I/Fe II 4731-37
4746.79,0.0111,7.91,Gaussian,deblended,,other,confirmed,45,"Fe I 4745.8, Fe I 4744.4, Si I 4748.0",Fe I/Si I 4744-48
4761.03,0.0275,20.0,Gaussian,deblended,,other,confirmed,36,"Mn I 4762.4, C I 4762.5, Mn I 4761.5, C I 4762.3",Mn I/C I 4762-63
4764.56,0.018,5.74,Gaussian,deblended,,other,confirmed,19,"Ti II 4763.9, Mn I 4766.4, Mn I 4765.9, Fe I 4765.2",Mn I/Ti II/Fe I 4764-66
4770.09,0.0087,11.13,Gaussian,deblended,,other,uncertain_discarded,37,,
4785.94,0.0119,11.52,Gaussian,deblended,,other,uncertain_discarded,50,,
4804.76,0.012,7.79,Gaussian,single,,other,uncertain_discarded,78,,
4844.38,0.0314,14.31,Gaussian,deblended,,other,confirmed,101,"Cr II 4848.2, Fe I 4843.1, Fe I 4842.8, Fe I 4844.0",Fe I/Cr II 4843-48
4861.14,0.5087,17.93,Voigt,deblended,Hβ,Balmer,confirmed,50,"H I 4861.3, H I 4861.4",H I 4861
4874.46,0.0343,6.87,Gaussian,deblended,,other,confirmed,42,"Fe I 4872.1, Ti II 4874.0, Cr II 4876.4, Fe I 4871.3",Fe I/Ti II/Cr II 4871-76
4886.01,0.0572,15.27,Gaussian,deblended,,other,confirmed,72,"Fe I 4886.3, Y II 4883.7, Fe I 4885.4, Fe I 4887.2",Fe I/Y II 4884-87
4921.42,0.0479,6.42,Gaussian,deblended,,other,confirmed,54,"Fe I 4920.5, Fe I 4919.0, Fe II 4923.9",Fe I/Fe II 4919-24
4935.62,0.0263,9.98,Gaussian,deblended,,other,uncertain_discarded,54,,
4956.88,0.0357,6.16,Gaussian,single,,other,confirmed,25,"Fe I 4957.6, Fe I 4957.3, Fe I 4957.7",Fe I 4957-58
4968.58,0.0136,6.25,Gaussian,single,,other,uncertain_discarded,48,,
4983.59,0.0571,7.41,Gaussian,single,,other,confirmed,67,"Fe I 4983.9, Fe I 4982.5, Fe I 4983.2, Ni I 4984.1",Fe I/Ni I 4982-84
5004.35,0.0319,8.9,Gaussian,deblended,,other,confirmed,85,"Fe I 5005.7, Fe I 5006.1, Fe I 5001.9",Fe I 5002-06
5017.72,0.0549,8.95,Gaussian,deblended,,other,confirmed,118,"Fe II 5018.4, Ni I 5017.6, Fe I 5014.9, Ca II 5020.0",Fe II/Ni I/Fe I/Ca II 5015-20
5039.28,0.0623,12.76,Gaussian,deblended,,other,confirmed,86,"Fe I 5040.9, Fe I 5041.8, C I 5039.1, Ni I 5035.4",Fe I/C I/Ni I 5035-42
5053.05,0.0225,6.12,Gaussian,deblended,,other,confirmed,42,"C I 5052.2, Fe I 5051.6, Fe I 5049.8",Fe I/C I 5050-52
5080.69,0.0143,7.07,Gaussian,deblended,,other,uncertain_discarded,63,,
5098.93,0.0334,7.65,Gaussian,deblended,,other,confirmed,35,"Fe I 5098.7, Fe I 5098.6, Fe I 5097.0, Ni I 5099.9",Fe I/Ni I 5097-5100
5109.22,0.0106,5.0,Gaussian,deblended,,other,uncertain_discarded,36,,
5127.53,0.0164,13.88,Gaussian,deblended,,other,uncertain_discarded,49,,
5139.47,0.0153,5.44,Gaussian,deblended,,other,uncertain_discarded,43,,
5169.12,0.091,7.99,Gaussian,single,,other,confirmed,51,"Fe II 5169.0, Mg I 5167.3, Fe I 5167.5",Fe II/Mg I/Fe I 5167-69
5184.52,0.0263,4.34,Gaussian,deblended,,other,confirmed,29,"Mg I 5183.6, Ti II 5185.9, Ti II 5188.7",Mg I/Ti II 5184-89
5206.95,0.0264,5.81,Gaussian,deblended,,other,confirmed,24,"Cr I 5206.0, Cr I 5208.4, Cr I 5204.5, Fe I 5208.6",Cr I/Fe I 5204-09
5216.33,0.0093,4.71,Gaussian,deblended,,other,uncertain_discarded,38,,
5230.07,0.0489,10.95,Gaussian,single,,other,confirmed,51,"Fe I 5229.8, Fe I 5229.9, Fe I 5227.2, Fe I 5232.9",Fe I 5227-33
5252.21,0.0079,5.08,Gaussian,deblended,,other,uncertain_discarded,28,,
5263.99,0.0114,4.66,Gaussian,deblended,,other,uncertain_discarded,31,,
5268.38,0.0872,13.58,Gaussian,deblended,,other,confirmed,18,"Fe I 5269.5, Fe I 5270.4, Fe I 5266.6, Ca I 5270.3",Fe I/Ca I 5267-70
5275.89,0.0112,4.23,Gaussian,deblended,,other,uncertain_discarded,22,,
5282.61,0.0347,8.16,Gaussian,deblended,,other,confirmed,22,"Fe I 5283.6, Fe I 5281.8, Fe II 5284.1",Fe I/Fe II 5282-84
5301.4,0.0177,13.47,Gaussian,deblended,,other,confirmed,54,"Fe I 5302.3, Cr I 5298.3, Cr I 5297.4, Cr II 5305.9",Fe I/Cr I/Cr II 5297-5306
5327.46,0.024,5.06,Gaussian,deblended,,other,confirmed,30,"Fe I 5328.0, Fe I 5328.5, Fe II 5325.6, Cr I 5328.3",Fe I/Fe II/Cr I 5326-29
5336.51,0.0241,14.85,Gaussian,deblended,,other,confirmed,14,"Ti II 5336.8, Cr II 5334.9, Fe II 5337.7",Ti II/Cr II/Fe II 5335-38
5339.32,0.016,4.7,Gaussian,deblended,,other,confirmed,11,"Fe I 5339.9, Fe I 5341.0, Ca II 5339.2",Fe I/Ca II 5339-41
5346.45,0.0108,15.5,Gaussian,deblended,,other,confirmed,24,"Cr I 5345.8, Ca I 5349.5, Cr I 5348.3",Cr I/Ca I 5346-49
5367.63,0.0468,10.53,Gaussian,single,,other,confirmed,25,"Fe I 5367.5, Fe I 5370.0, Fe I 5364.9, Fe I 5371.5",Fe I 5365-71
5381.67,0.0181,5.26,Gaussian,single,,other,confirmed,19,"Fe I 5383.4, C I 5380.3, Ti II 5381.0",Fe I/C I/Ti II 5380-83
5476.77,0.0258,6.2,Gaussian,single,,other,confirmed,32,"Ni I 5476.9, Fe I 5476.6, Fe I 5476.3, Cr II 5478.4",Ni I/Fe I/Cr II 5476-78
5504.82,0.0173,13.0,Gaussian,single,,other,confirmed,60,"Fe I 5506.8, Fe I 5501.5, Fe I 5505.7, Cr II 5502.1",Fe I/Cr II 5501-07
5528.92,0.0333,9.06,Gaussian,single,,other,confirmed,38,"Mg I 5528.4, Sc II 5526.8, Fe I 5525.5",Mg I/Sc II/Fe I 5526-28
5593.81,0.0317,19.07,Gaussian,single,,other,confirmed,73,"Ca I 5594.5, Fe I 5594.6, Ca I 5590.1, Ca I 5598.5",Ca I/Fe I 5590-98
5616.13,0.0164,6.44,Gaussian,single,,other,confirmed,38,"Fe I 5615.6, Fe I 5615.3, Ni I 5614.8, Fe I 5618.6",Fe I/Ni I 5615-19
5659.15,0.0276,12.06,Gaussian,single,,other,confirmed,85,"Fe I 5658.8, Sc II 5657.9, Fe I 5655.5, Fe I 5662.5",Fe I/Sc II 5655-63
5686.96,0.0349,11.59,Gaussian,single,,other,confirmed,52,"Na I 5688.2, Fe I 5686.5, Si I 5684.5, Na I 5682.6",Na I/Fe I/Si I 5683-88
5858.34,0.0146,19.09,Gaussian,deblended,,other,confirmed,92,"Ca I 5857.4, Fe I 5859.6, Fe I 5862.4",Ca I/Fe I 5857-62
5901.1,0.0528,5.94,Gaussian,deblended,,other,uncertain_discarded,16,,
5909.27,0.0294,6.23,Gaussian,deblended,,other,uncertain_discarded,14,,
5919.87,0.1458,17.76,Gaussian,deblended,,other,uncertain_discarded,21,,
5933.28,0.0289,3.83,Gaussian,deblended,,other,confirmed,25,"Fe I 5930.2, Fe I 5934.6, Fe I 5929.7",Fe I 5930-35
5945.49,0.1776,12.76,Gaussian,deblended,,other,uncertain_discarded,23,,
5958.17,0.0564,5.65,Gaussian,deblended,,other,uncertain_discarded,39,,
5970.34,0.0874,19.28,Gaussian,deblended,,other,uncertain_discarded,14,,
5990.86,0.0577,20.0,Gaussian,deblended,,other,uncertain_discarded,30,,
6016.22,0.0287,20.0,Gaussian,deblended,,other,confirmed,68,"C I 6013.2, Mn I 6016.7, C I 6014.8, Fe I 6020.2",C I/Mn I/Fe I 6013-20
6102.31,0.0202,10.12,Gaussian,single,,other,confirmed,66,"Ca I 6102.7, Fe I 6102.2, Fe I 6103.2",Fe I/Ca I 6102-03
6279.22,0.1411,8.3,Gaussian,deblended,,other,uncertain_discarded,13,,
6295.48,0.0635,20.0,Gaussian,deblended,,other,uncertain_discarded,15,,
6318.48,0.0392,10.14,Gaussian,deblended,,other,confirmed,25,"Ca I 6318.1, Fe I 6318.0, Fe II 6318.0",Ca I/Fe I/Fe II 6318
6346.65,0.028,10.11,Gaussian,single,,other,confirmed,25,"Si II 6347.1, Ca I 6343.3, Mg II 6346.7",Si II/Ca I/Mg II 6343-47
6459.53,0.0647,14.16,Gaussian,deblended,,other,confirmed,28,"Ca I 6462.6, Fe II 6456.4, Ca II 6456.9",Ca I/Fe II/Ca II 6456-63
6494.63,0.0869,8.9,Gaussian,deblended,,other,confirmed,22,"Ba II 6496.9, Fe I 6495.0, Ca I 6493.8",Ba II/Fe I/Ca I 6494-97
6517.26,0.1393,8.08,Gaussian,deblended,,other,uncertain_discarded,10,,
6534.36,0.0459,5.46,Gaussian,deblended,,other,uncertain_discarded,11,,
6547.23,0.076,11.31,Gaussian,deblended,,other,uncertain_discarded,6,,
6562.59,0.4254,16.78,Voigt,deblended,Hα,Balmer,confirmed,18,"H I 6562.9, H I 6562.7, H I 6562.8",H I 6563
6581.79,0.0372,20.0,Gaussian,deblended,,other,uncertain_discarded,33,,
