Cr II 4634,A,4632.97,0.03,12.63,other,confirmed,,Cr II 4634.1,,,,,,,,,,,,,,,,,,
Ni I 4649,A,4648.85,0.0301,6.12,other,confirmed,,Ni I 4648.6,,,,,,,,,,,,,,,,,,
Ti II 4657,A,4656.75,0.0204,3.84,other,confirmed,,Ti II 4657.2,,,,,,,,,,,,,,,,,,
,A,4669.24,0.061,5.86,other,unresolved_blend,"blend of 112 lines in window, strongest explains only 14% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Fe I 4679,A,4680.99,0.0208,5.16,other,confirmed,,Fe I 4678.9,,,,,,,,,,,,,,,,,,
Ti II 4709,A,4709.13,0.0278,12.03,other,confirmed,,Ti II 4708.7,,,,,,,,,,,,,,,,,,
Fe II 4731,A,4733.43,0.0278,8.84,other,confirmed,,Fe II 4731.4,,,,,,,,,,,,,,,,,,
Mn I 4754,A,4755.87,0.0122,3.87,other,confirmed,,Mn I 4754.0,,,,,,,,,,,,,,,,,,
,A,4765.49,0.0164,4.75,other,unresolved_blend,"blend of 42 lines in window, strongest explains only 14% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Fe I 4768,A,4768.93,0.0112,13.73,other,confirmed,,Fe I 4768.3,,,,,,,,,,,,,,,,,,
C I 4772,A,4772.93,0.0065,3.03,other,confirmed,,C I 4771.7,,,,,,,,,,,,,,,,,,
Ni I 4787,A,4787.72,0.0295,7.65,other,confirmed,,Ni I 4786.5,,,,,,,,,,,,,,,,,,
Zn I 4811,A,4809.33,0.0229,12.86,other,confirmed,,Zn I 4810.5,,,,,,,,,,,,,,,,,,
Cr II 4824,A,4825.21,0.0334,3.99,other,confirmed,,Cr II 4824.1,,,,,,,,,,,,,,,,,,
Cr II 4836,A,4839.04,0.0196,20,other,confirmed,,Cr II 4836.2,,,,,,,,,,,,,,,,,,
Cr II 4848,A,4851.18,0.0401,9.07,other,confirmed,,Cr II 4848.2,,,,,,,,,,,,,,,,,,
Hβ  4861,A,4862.37,0.4739,12.16,Balmer,confirmed,,"H I 4861.3, H I 4861.4",,,,,,,,,,,,,,,,,,
Ti II 4874,A,4874.29,0.0561,7.7,other,confirmed,,Ti II 4874.0,,,,,,,,,,,,,,,,,,
Cr II 4876,A,4876.26,0.0166,10.31,other,confirmed,,Cr II 4876.4,,,,,,,,,,,,,,,,,,
,A,4887.95,0.0543,12.24,other,unresolved_blend,"blend of 35 lines in window, strongest explains only 15% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Fe I 4903,A,4902.77,0.0235,4.1,other,confirmed,,Fe I 4903.3,,,,,,,,,,,,,,,,,,
Ti II 4911,A,4911.84,0.0162,3.96,other,confirmed,,Ti II 4911.2,,,,,,,,,,,,,,,,,,
Fe II 4924,A,4922.61,0.0862,7.16,other,confirmed,,Fe II 4923.9,,,,,,,,,,,,,,,,,,
Ba II 4934,A,4936.46,0.055,6.69,other,confirmed,,Ba II 4934.1,,,,,,,,,,,,,,,,,,
Fe I 4939,A,4940.87,0.0118,3.12,other,confirmed,,Fe I 4938.8,,,,,,,,,,,,,,,,,,
Fe I 4957-58,A,4958.53,0.0539,5.01,other,confirmed,,"Fe I 4957.6, Fe I 4957.3",,,,,,,,,,,,,,,,,,
,A,4984.5,0.0788,6.72,other,unresolved_blend,"blend of 90 lines in window, strongest explains only 14% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Fe I 5006,A,5005,0.0363,8.55,other,confirmed,,Fe I 5006.1,,,,,,,,,,,,,,,,,,
Fe II 5018,A,5017.46,0.0404,9.06,other,confirmed,,Fe II 5018.4,,,,,,,,,,,,,,,,,,
Ca II 5020,A,5020.13,0.0261,3.85,other,confirmed,,Ca II 5020.0,,,,,,,,,,,,,,,,,,
Fe I 5042,A,5041.56,0.0495,6.17,other,confirmed,,Fe I 5041.8,,,,,,,,,,,,,,,,,,
Fe I 5099,A,5100.05,0.0401,5.2,other,confirmed,,Fe I 5098.7,,,,,,,,,,,,,,,,,,
,A,5101.72,0.0252,19.66,other,uncertain_discarded,confirm frac too low (0.10),,,,,,,,,,,,,,,,,,,
Fe I 5110,A,5110,0.0277,6.33,other,confirmed,,Fe I 5110.4,,,,,,,,,,,,,,,,,,
Ti II 5129,A,5126.71,0.0346,10.1,other,confirmed,,Ti II 5129.2,,,,,,,,,,,,,,,,,,
Fe I 5139,A,5140.08,0.0181,5.67,other,confirmed,,Fe I 5139.5,,,,,,,,,,,,,,,,,,
Ti II 5154,A,5155.1,0.0098,3.8,other,confirmed,,Ti II 5154.1,,,,,,,,,,,,,,,,,,
Fe II 5169,A,5170.2,0.1173,8.2,other,confirmed,,Fe II 5169.0,,,,,,,,,,,,,,,,,,
Mg I 5184,A,5184.45,0.03,4.04,other,confirmed,,Mg I 5183.6,,,,,,,,,,,,,,,,,,
Ti II 5189,A,5190.39,0.0499,12.88,other,confirmed,,Ti II 5188.7,,,,,,,,,,,,,,,,,,
Fe II 5198,A,5197.13,0.0145,5.4,other,confirmed,,Fe II 5197.6,,,,,,,,,,,,,,,,,,
Cr I 5208,A,5207.43,0.043,5.35,other,confirmed,,Cr I 5208.4,,,,,,,,,,,,,,,,,,
Fe I 5216-17,A,5217.77,0.0269,4.12,other,confirmed,,"Fe I 5216.3, Fe I 5217.4",,,,,,,,,,,,,,,,,,
Fe I 5233,A,5231.49,0.0634,13.81,other,confirmed,,Fe I 5232.9,,,,,,,,,,,,,,,,,,
Fe I 5267,A,5265.75,0.0171,4.51,other,confirmed,,Fe I 5266.6,,,,,,,,,,,,,,,,,,
Fe I 5270,A,5270.71,0.0771,12.08,other,confirmed,,Fe I 5269.5,,,,,,,,,,,,,,,,,,
Fe II 5276,A,5277.79,0.0099,3.86,other,confirmed,,Fe II 5276.0,,,,,,,,,,,,,,,,,,
Fe II/Fe I 5284,A,5284.07,0.0334,5.25,other,confirmed,,"Fe II 5284.1, Fe I 5283.6",,,,,,,,,,,,,,,,,,
Fe II 5317,A,5317.52,0.0306,3.9,other,confirmed,,"Fe II 5316.6, Fe II 5316.8",,,,,,,,,,,,,,,,,,
Fe I 5328,A,5328.34,0.0521,5.71,other,confirmed,,Fe I 5328.0,,,,,,,,,,,,,,,,,,
Fe I 5341,A,5340.6,0.026,5.12,other,confirmed,,Fe I 5341.0,,,,,,,,,,,,,,,,,,
Fe I 5370-71,A,5369.49,0.056,11.69,other,confirmed,,"Fe I 5370.0, Fe I 5371.5",,,,,,,,,,,,,,,,,,
C I/Ti II 5380-81,A,5377.33,0.0311,19.83,other,confirmed,,"C I 5380.3, Ti II 5381.0",,,,,,,,,,,,,,,,,,
Fe I 5406,A,5405.12,0.0303,15.6,other,confirmed,,Fe I 5405.8,,,,,,,,,,,,,,,,,,
Fe I 5447,A,5447.26,0.0389,5.13,other,confirmed,,Fe I 5446.9,,,,,,,,,,,,,,,,,,
,A,5453.38,0.0258,18.84,other,uncertain_discarded,confirm frac too low (0.08),,,,,,,,,,,,,,,,,,,
Fe I 5455-56,A,5456.27,0.0244,6.14,other,confirmed,,"Fe I 5455.6, Fe I 5455.4",,,,,,,,,,,,,,,,,,
Ni I 5477,A,5477.89,0.0427,5.54,other,confirmed,,Ni I 5476.9,,,,,,,,,,,,,,,,,,
Mg I 5528,A,5531.18,0.0272,11.68,other,confirmed,,Mg I 5528.4,,,,,,,,,,,,,,,,,,
Ca I 5589,A,5588.65,0.0293,4.59,other,confirmed,,Ca I 5588.8,,,,,,,,,,,,,,,,,,
Fe I 5603,A,5601.92,0.01,5.07,other,confirmed,,Fe I 5602.9,,,,,,,,,,,,,,,,,,
Fe I 5616,A,5616.87,0.028,7.75,other,confirmed,,Fe I 5615.6,,,,,,,,,,,,,,,,,,
Fe I 5625,A,5626.16,0.0157,6.18,other,confirmed,,Fe I 5624.5,,,,,,,,,,,,,,,,,,
Fe I 5659,A,5661.32,0.0319,10.68,other,confirmed,,Fe I 5658.8,,,,,,,,,,,,,,,,,,
Na I 5688,A,5685.83,0.0219,8.63,other,confirmed,,Na I 5688.2,,,,,,,,,,,,,,,,,,
Fe I 5709,A,5710.19,0.018,7.59,other,confirmed,,Fe I 5709.4,,,,,,,,,,,,,,,,,,
Ca I 5857,A,5856.78,0.0289,10.55,other,confirmed,,Ca I 5857.4,,,,,,,,,,,,,,,,,,
,A,5893.1,0.0717,11.97,other,uncertain_discarded,confirm frac too low (0.33),,,,,,,,,,,,,,,,,,,
,A,5946.26,0.0193,10.39,other,uncertain_discarded,confirm frac too low (0.24),,,,,,,,,,,,,,,,,,,
Fe I 6024,A,6023.84,0.0153,8.83,other,confirmed,,Fe I 6024.1,,,,,,,,,,,,,,,,,,
Ca I/Fe I 6102-03,A,6103.9,0.0192,3.77,other,confirmed,,"Ca I 6102.7, Fe I 6102.2",,,,,,,,,,,,,,,,,,
Ba II 6142,A,6141.01,0.0328,8.18,other,confirmed,,Ba II 6141.7,,,,,,,,,,,,,,,,,,
,A,6279.07,0.0508,5.77,other,uncertain_discarded,confirm frac too low (0.09),,,,,,,,,,,,,,,,,,,
Fe II 6318,A,6318.12,0.0131,5.36,other,confirmed,,Fe II 6318.0,,,,,,,,,,,,,,,,,,
Si II 6347,A,6347.41,0.0177,5.03,other,confirmed,,Si II 6347.1,,,,,,,,,,,,,,,,,,
Ca I/Fe II 6433-39,A,6435.87,0.0107,9.2,other,confirmed,,"Ca I 6439.1, Fe II 6432.7",,,,,,,,,,,,,,,,,,
Ca I 6463,A,6460.82,0.0231,11.46,other,confirmed,,Ca I 6462.6,,,,,,,,,,,,,,,,,,
Ba II 6497,A,6496.08,0.0659,6.7,other,confirmed,,Ba II 6496.9,,,,,,,,,,,,,,,,,,
,A,6517.35,0.0373,6.2,other,uncertain_discarded,confirm frac too low (0.29),,,,,,,,,,,,,,,,,,,
,A,6539.06,0.0175,20,other,uncertain_discarded,confirm frac too low (0.19),,,,,,,,,,,,,,,,,,,
,A,6551.87,0.0485,13.82,other,uncertain_discarded,confirm frac too low (0.05),,,,,,,,,,,,,,,,,,,
Hα  6563,A,6563.69,0.3964,10.86,Balmer,confirmed,,"H I 6562.9, H I 6562.7",,,,,,,,,,,,,,,,,,
,A,6574.34,0.0273,7.37,other,uncertain_discarded,confirm frac too low (0.11),,,,,,,,,,,,,,,,,,,
,A,6585.75,0.028,20,other,uncertain_discarded,confirm frac too low (0.32),,,,,,,,,,,,,,,,,,,
Fe I 6678,A,6678.68,0.0133,5.5,other,confirmed,,Fe I 6678.0,,,,,,,,,,,,,,,,,,
S I 6757,A,6757.75,0.0136,3.59,other,confirmed,,S I 6757.1,,,,,,,,,,,,,,,,,,
