short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
,A,5796.15,0.0178,5.04,other,uncertain_discarded,confirm frac too low (0.05),
He I 5876,A,5875.17,0.0449,6.78,other,confirmed,,He I 5875.6
,A,5888.69,0.0387,3.66,other,uncertain_discarded,confirm frac too low (0.24),
,A,5892.92,0.1712,17.15,other,uncertain_discarded,confirm frac too low (0.03),
,A,5909.7,0.0275,5.16,other,uncertain_discarded,confirm frac too low (0.01),
,A,5919.73,0.0848,13.01,other,uncertain_discarded,confirm frac too low (0.00),
,A,5944.48,0.0984,13.15,other,uncertain_discarded,confirm frac too low (0.01),
Si II 5958,A,5957.43,0.0461,5.65,other,confirmed,,Si II 5957.6
,A,5971.13,0.056,18.6,other,uncertain_discarded,confirm frac too low (0.02),
,A,5993.14,0.0234,20.0,other,uncertain_discarded,confirm frac too low (0.23),
O I 6156-58,A,6156.54,0.0141,4.03,other,confirmed,,"O I 6158.2, O I 6156.8, O I 6156.0"
,A,6203.17,0.0222,6.14,other,uncertain_discarded,confirm frac too low (0.02),
Fe II 6238-48,A,6242.64,0.02,13.02,other,confirmed,,"Fe II 6247.6, Fe II 6238.4"
,A,6269.17,0.0246,7.53,other,uncertain_discarded,confirm frac too low (0.04),
,A,6277.3,0.0193,3.03,other,no_lines_in_window,,
,A,6281.18,0.1476,10.9,other,no_lines_in_window,,
,A,6296.39,0.0193,20.0,other,uncertain_discarded,confirm frac too low (0.05),
Si II 6347,A,6346.24,0.1226,5.73,other,confirmed,,Si II 6347.1
Si II 6371,A,6370.4,0.1044,5.99,other,confirmed,,Si II 6371.4
Fe II 6443-46,A,6444.65,0.0143,4.3,other,confirmed,,"Fe II 6446.4, Fe II 6443.0"
Fe II 6456,A,6456.88,0.0374,11.35,other,confirmed,,Fe II 6456.4
,A,6474.74,0.0197,3.06,other,no_lines_in_window,,
Fe II 6482,A,6483.41,0.0136,2.14,other,confirmed,,Fe II 6482.2
,A,6493.36,0.0355,6.91,other,uncertain_discarded,confirm frac too low (0.16),
,A,6516.05,0.0947,7.84,other,uncertain_discarded,confirm frac too low (0.13),
,A,6530.27,0.022,16.25,other,uncertain_discarded,confirm frac too low (0.02),
Mg II 6546,A,6544.75,0.0154,4.04,other,confirmed,,"Mg II 6546.0, Mg II 6545.9"
,A,6551.54,0.0191,18.71,other,uncertain_discarded,confirm frac too low (0.11),
,A,6560.63,0.0573,4.95,Balmer,uncertain_discarded,confirm frac too high (6.04),
Fe II/C II 6571-78,A,6574.17,0.0178,5.9,other,confirmed,,"Fe II 6571.4, C II 6578.1"
,A,6612.96,0.0201,3.93,other,uncertain_discarded,confirm frac too low (0.02),
He I/Fe II 6677-78,A,6677.2,0.0216,4.97,other,confirmed,,"He I 6678.1, Fe II 6677.3"
