wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
5094.61,0.0026,4.16,Gaussian,deblended,,other,confirmed,10,"Fe I 5097.0, Fe II 5093.6",Fe I/Fe II 5094-97
5099.99,0.0195,6.36,Gaussian,deblended,,other,confirmed,22,Fe II 5100.7,Fe II 5101
5110.66,0.0014,2.2,Gaussian,deblended,,other,confirmed,5,"Fe I 5110.4, Fe I 5109.6",Fe I 5110
5115.93,0.0024,5.41,Gaussian,deblended,,other,confirmed,6,"Ni I 5115.4, Fe II 5117.0",Ni I/Fe II 5115-17
5122.31,0.0012,3.39,Gaussian,deblended,,other,uncertain_discarded,13,,
5127.32,0.0107,6.76,Gaussian,deblended,,other,confirmed,31,Ti II 5129.2,Ti II 5129
5152.35,0.0038,12.54,Gaussian,deblended,,other,uncertain_discarded,73,,
5169.24,0.053,7.01,Gaussian,deblended,,other,confirmed,22,"Fe II 5169.0, Mg I 5167.3",Fe II/Mg I 5167-69
5173.35,0.0024,3.2,Gaussian,deblended,,other,uncertain_discarded,12,,
5184.59,0.0163,5.16,Gaussian,deblended,,other,confirmed,24,"Mg I 5183.6, Ti II 5185.9",Mg I/Ti II 5184-86
5197.7,0.0066,3.21,Gaussian,deblended,,other,uncertain_discarded,20,,
5216.2,0.0075,6.25,Gaussian,deblended,,other,confirmed,33,Fe II 5216.9,Fe II 5217
5227.17,0.0329,5.53,Gaussian,deblended,,other,confirmed,33,"Ti II 5226.5, Fe I 5227.2",Ti II/Fe I 5227
5234.7,0.0316,6.99,Gaussian,deblended,,other,confirmed,20,"Fe II 5234.6, Fe I 5232.9",Fe II/Fe I 5233-35
5264.43,0.0017,3.07,Gaussian,deblended,,other,uncertain_discarded,19,,
5266.23,0.0116,7.18,Gaussian,deblended,,other,confirmed,19,"Fe I 5266.6, Fe I 5269.5",Fe I 5267-70
5275.13,0.0135,5.79,Gaussian,deblended,,other,confirmed,24,"Fe II 5276.0, Cr II 5275.0",Fe II/Cr II 5275-76
5284.11,0.0054,2.68,Gaussian,single,,other,uncertain_discarded,6,,
5304.69,0.0045,3.82,Gaussian,deblended,,other,confirmed,13,"Cr II 5305.9, Fe I 5302.3",Cr II/Fe I 5302-06
5308.01,0.0032,20.0,Gaussian,deblended,,other,confirmed,37,"Ca II 5307.2, Cr II 5308.4",Ca II/Cr II 5307-08
5316.46,0.0265,4.51,Gaussian,deblended,,other,confirmed,14,"Fe II 5316.6, Fe II 5316.8",Fe II 5317
5326.99,0.0103,3.93,Gaussian,single,,other,uncertain_discarded,19,,
5338.04,0.0137,4.87,Gaussian,single,,other,confirmed,14,Ti II 5336.8,Ti II 5337
5362.59,0.0065,3.76,Gaussian,deblended,,other,confirmed,9,Fe II 5362.9,Fe II 5363
5366.13,0.0191,9.18,Gaussian,deblended,,other,confirmed,5,"Fe I 5367.5, Fe I 5364.9",Fe I 5365-67
5371.51,0.004,3.41,Gaussian,deblended,,other,uncertain_discarded,13,,
5382.67,0.0039,2.3,Gaussian,single,,other,uncertain_discarded,8,,
5414.54,0.0022,1.84,Gaussian,single,,other,uncertain_discarded,7,,
5425.03,0.0061,3.62,Gaussian,deblended,,other,confirmed,7,"Fe I 5424.1, Fe II 5425.2",Fe I/Fe II 5424-25
5430.05,0.0058,10.77,Gaussian,deblended,,other,confirmed,27,Fe I 5429.7,Fe I 5430
5446.86,0.0039,2.35,Gaussian,single,,other,confirmed,10,"Fe I 5446.9, Fe I 5445.0",Fe I 5445-47
5456.56,0.004,3.67,Gaussian,deblended,,other,confirmed,9,"Fe I 5455.4, Fe I 5455.6",Fe I 5455-56
5464.35,0.0048,5.33,Gaussian,deblended,,other,confirmed,4,"Fe I 5463.3, Fe I 5463.0",Fe I 5463
5466.42,0.0011,2.09,Gaussian,deblended,,other,uncertain_discarded,8,,
5477.64,0.0083,3.77,Gaussian,single,,other,confirmed,19,"Ni I 5476.9, Cr II 5478.4",Ni I/Cr II 5477-78
5506.25,0.0112,7.13,Gaussian,single,,other,confirmed,39,Fe II 5506.2,Fe II 5506
5527.97,0.0021,3.92,Gaussian,deblended,,other,uncertain_discarded,6,,
5531.29,0.013,9.8,Gaussian,deblended,,other,uncertain_discarded,10,,
5535.8,0.0054,3.52,Gaussian,deblended,,other,confirmed,7,Fe II 5534.8,Fe II 5535
5544.34,0.0059,3.9,Gaussian,deblended,,other,confirmed,14,Fe II 5544.8,Fe II 5545
5588.52,0.009,4.51,Gaussian,single,,other,confirmed,19,"Ca I 5588.8, Fe I 5586.8",Ca I/Fe I 5587-89
5615.79,0.0049,3.79,Gaussian,single,,other,confirmed,4,Fe I 5615.6,Fe I 5616
5659.44,0.0036,5.09,Gaussian,single,,other,confirmed,20,"Sc II 5657.9, Fe I 5658.8",Sc II/Fe I 5658-59
5689.53,0.0268,15.7,Gaussian,deblended,,other,uncertain_discarded,16,,
5699.99,0.0072,4.24,Gaussian,deblended,,other,uncertain_discarded,8,,
5719.85,0.0068,3.82,Gaussian,single,,other,uncertain_discarded,4,,
5813.54,0.0017,4.13,Gaussian,single,,other,uncertain_discarded,26,,
5887.93,0.0891,16.03,Gaussian,deblended,,other,uncertain_discarded,26,,
5899.29,0.0871,17.46,Gaussian,deblended,,other,uncertain_discarded,10,,
5911.26,0.0215,4.71,Gaussian,deblended,,other,uncertain_discarded,8,,
5920.89,0.0985,12.96,Gaussian,deblended,,other,uncertain_discarded,6,,
5932.72,0.0228,5.65,Gaussian,deblended,,other,uncertain_discarded,9,,
5945.48,0.1225,12.86,Gaussian,deblended,,other,uncertain_discarded,3,,
5959.07,0.0617,7.04,Gaussian,deblended,,other,uncertain_discarded,14,,
5968.65,0.0725,7.54,Gaussian,deblended,,other,uncertain_discarded,6,,
5977.42,0.0476,6.39,Gaussian,deblended,,other,uncertain_discarded,7,,
5989.13,0.041,19.99,Gaussian,deblended,,other,uncertain_discarded,19,,
6014.28,0.01,20.0,Gaussian,deblended,,other,confirmed,34,C I 6013.2,C I 6013
6044.55,0.0028,2.69,Gaussian,single,,other,confirmed,13,S I 6046.0,S I 6046
6084.13,0.0032,5.78,Gaussian,single,,other,confirmed,10,Fe II 6084.1,Fe II 6084
6103.46,0.0029,5.02,Gaussian,single,,other,confirmed,12,"Ca I 6102.7, Fe I 6102.2",Ca I/Fe I 6102-03
6140.49,0.0032,4.26,Gaussian,deblended,,other,confirmed,11,"Ba II 6141.7, Fe I 6137.7",Ba II/Fe I 6138-42
6148.15,0.0085,9.24,Gaussian,deblended,,other,confirmed,8,"Fe II 6149.2, Fe II 6147.7",Fe II 6148-49
6158.6,0.0079,5.55,Gaussian,single,,other,uncertain_discarded,22,,
6238.47,0.0055,3.54,Gaussian,single,,other,confirmed,8,Fe II 6238.4,Fe II 6238
6247.62,0.0109,3.61,Gaussian,single,,other,confirmed,6,Fe II 6247.6,Fe II 6248
6272.07,0.012,14.99,Gaussian,deblended,,other,uncertain_discarded,7,,
6279.35,0.1157,7.04,Gaussian,deblended,,other,uncertain_discarded,2,,
6284.65,0.0057,3.57,Gaussian,deblended,,other,uncertain_discarded,2,,
6294.07,0.0449,16.14,Gaussian,deblended,,other,uncertain_discarded,10,,
6306.42,0.0029,5.69,Gaussian,deblended,,other,confirmed,5,"Fe II 6305.3, Fe I 6301.5",Fe II/Fe I 6302-05
6308.06,0.0062,8.12,Gaussian,deblended,,other,uncertain_discarded,2,,
6318.57,0.0207,8.34,Gaussian,deblended,,other,uncertain_discarded,13,,
