Ti I/Fe I 5012-16,C,,,,,Ti I/Fe I,5012-16,,,,,,5014.1507,,,,,,,,
Ti I/Fe I 5020-25,C,,,,,Ti I/Fe I,5020-25,,,,,MWK,5022.5,,,,,,,,
Ti I 5040,C,,,,,Ti I,5040,,,,,,5039.7731,,,,,,,,
,,,,,,,,,,,,,5051.0626,,,,,,,,
,,,,,,,,,,,,TP,5067.7344,,,,,,,,
Fe I 5080-83,C,,,,,,,,,Fe I,5080-83,TP,5081.3867,,,,,,,,
,,,,,,,,,,,,TSP,5100.3877,,,,,,,,
Fe I 5110,C,,,,,Fe I,5110,,,,,TSP,5109.1909,,,,,,,,
Fe I 5126-28,C,,,,,,,,,Fe I,5126-28,,5126.2908,,,,,,,,
,,,,,,,,,,,,AW,5146.4829,,,,,,,,
,,,,,,,,,,,,AW,5152.5991,,,,,,,,
Mg I 5167-72,A,,,,,Mg I ,5167-72,Mg I,5167-72,Mg I,5167-72,TP,5171.1372,,,,,,,,
Mg I 5184,A,,,,,Mg I ,5184,Mg I,5184,Mg I,5184,TP,5182.0459,,,,,,,,
Fe I/Ti I 5192,B,,,,,Fe I/Ti I,5192,,,Fe I/Ti I,5192,,5192.9656,,,,,,,,
Cr I/Fe I 5205-10,C,,,,,,,,,Cr I/Fe I,5205-10,,5207.0219,,,,,,,,
,,,,,,,,,,,,,5225.5313,,,,,,,,
Fe I/Ca I 5247-51,C,,,,,,,,,Fe I/Ca I,5247-51,,5249.8991,,,,,,,,
Fe I 5267-70,C,,,,,Fe I/Co I,5267-70,,,Fe I/Ca I,5270,,5267.4195,,,,,,,,
Fe I 5282-84,C,,,,,,,,,Fe I,5282-84,M,5282.5,,,,,,,,
Cr I 5297-98,C,,,,,,,,,Cr I,5297-98,,5298.0772,,,,,,,,
Fe I 5328,B,,,,,Fe I,5328,,,Fe I,5328,,5328.2312,,,,,,,,
Fe I/Mn I 5341,B,,,,,Fe I/Mn I/Sc I,5341,,,Fe I/Mn I,5340-41,AW,5341.0205,,,,,,,,
Cr I 5346-48,C,,,,,,,,,Cr I,5346-48,AW,5345.939,,,,,,,,
Fe I 5371,B,,,,,Fe I,5371,,,Fe I,5371.5,,5370.1853,,,,,,,,
Fe I 5397,C,,,,,Fe I,5397,,,Fe I/Cr I,5394-5410,TP,5395.106,,,,,,,,
Fe I 5406,C,,,,,Fe I ,5406,,,Fe I/Cr I,5394-5410,TP,5407.0708,,,,,,,,
Fe I 5430-35,C,,,,,Fe I,5430-35,,,Fe I/Cr I,5430,,5433.1292,,,,,,,,
TiO 548-51,C,,,,,,,,,TiO,5448-51,AW,5451.4546,,,,,,,,
Fe I 5456,B,,,,,Fe I,5456,,,Fe I,5455.6,AW,5456.5527,,,,,,,,
,,,,,,,,,,,,,5475.1739,,,,,,,,
Ti I 5514,C,,,,,,,,,Ti I,5514,,5513.2331,,,,,,,,
Mg I 5528,C,,,,,,,,,Mg I,5528.4,AW,5528.6401,,,,,,,,
,,,,,,,,,,,,AW,5534.4453,,,,,,,,
Fe I/V I 5544-47,C,,,,,,,,,Fe I/V I,5544-47,,5545.5,,,,,,,,
,,,,,,,,,,,,,5565.3685,,,,,,,,
Fe I/Ca I/Ni I 5587-89,C,,,,,,,,,Fe I/Ca I/Ni I,5587-89,TP,5589.2651,,,,,,,,
,,,,,,,,,,,,TP,5600.5571,,,,,,,,
Fe I 5616,B,,,,,Fe I,5616,,,Fe I,5616,TSP,5617.4814,,,,,,,,
,,,,,,,,,,Fe I/V I,5624-28,TSP,5624.8818,,,,,,,,
,,,,,,,,,,,,,5640.9705,,,,,,,,
Fe I 5659,B,,,,,Fe I,5659,,,Fe I/Sc II,5658-59,AW,5660.3262,,,,,,,,
,,,,,,,,,,,,AW,5668.2373,,,,,,,,
,,,,,,,,,,,,,5685.213,,,,,,,,
V I/Sc I/Cu I 5698-5700,C,,,,,,,,,V I/Sc I/Cu I,5698-5700,TSP,5701.3667,,,,,,,,
Ni I/Fe I 5710,C,,,,,,,,,Ni I/Fe I,5710,TSP,5709.4082,,,,,,,,
V I/Sc I/Cu I 5727,C,,,,,,,,,V I/Sc I/Cu I,5727,,5728.565,,,,,,,,
,,,,,,,,,,,,MWK,5739.5,,,,,,,,
,,,,,,,,,,,,M,5752.5,,,,,,,,
Fe I 5763,C,,,,,,,,,Fe I,5763,,5762.1594,,,,,,,,
Cu I/Cr I 5782-86,C,,,,,,,,,Cu I/Cr I,5782-86,,5783.649,,,,,,,,
,,,,,,,,,,,,MK,5806.5,,,,,,,,
Ti O 5814,C,,,,,,,,,TiO,5814,,5815.8295,,,,,,,,
,,,,,,,,,,,,MK,5823.5,,,,,,,,
,,,,,,,,,,,,,5837.259,,,,,,,,
,,,,,,,,,,,,,5856.2134,,,,,,,,
,,,,,,,,,,,,MSK,5880.5,,,,,,,,
